perms,i=0,i=1,i=2,i=3,i=4,i=5,i=6,i=7,i=8,i=9,i=10,i=11,i=12,i=13,i=14,i=15,i=16,i=17,i=18,i=19,i=20,i=21,i=22,i=23,i=24,i=25,i=26,i=27,i=28,i=29,i=30,i=31,i=32,i=33,i=34,i=35,i=36,i=37,i=38,i=39,i=40,i=41,i=42,i=43,i=44,i=45,i=46,i=47,i=48,i=49,i=50
"[14,3,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,13,757,18955,310299,3712221,34267832,254605477,1577295269,8385950736,39161113941,163641233353,621114057886,2167620189684,7025523697828,21324184126360,61037710995147,165739881900896,429097935974942,1063849166106095,2535370550322995,5827421981899374,12955291383432898,27929872293008020,58523789910254268,119432268289992796,237809319448506534,462771649802937468,881411865477878678,1645312663491569542,3013737498646577463,5422918093853569226,9595620421533693839,16712075057912072344,28673259089886175042,48501568162503637114,80943662334308349987,133367757372563957952,217085563451985090179
"[14,2,2,2,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,279,11648,238561,3154872,30502918,231779740,1452456058,7769808112,36408300390,152438689850,579269416868,2023007753856,6559618872836,19915225675583,57013665761518,154827248264063,400865320174719,993876343719705,2368626991239556,5444149306454987,12103088806144977,26092263953593641,54672395110214755,111570594944926656,222151496769195216,432294320607831884,823349689310662648,1536904350961344910,2815121536448664377,5065455227179626685,8962983345992359533,15610053033882943158,26782178284893637207,45302253194048253879,75603584446482777531,124567918203725511695,202760060269121135991
"[14,2,2,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,9,653,17389,290375,3492544,32270886,239756241,1485096633,7895387771,36871956381,154092469965,584955459410,2041755475337,6618644218284,20092315319413,57519983142820,156208779339882,404471093889520,1002902342138658,2390356788842145,5494599174276194,12216335985013815,26338640238612886,55193029167714203,112641385315769287,224298897437228563,436500476701968418,831408724824859810,1552029822251755809,2842964324049370754,5115781726181159053,9052400444758620737,15766369858851589230,27051294177029894260,45758897260309649989,76367859754256235932,125830498728569108270,204820152915388239049
"[14,2,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,23,733,12855,168148,1766682,15201654,108824186,660994187,3477223648,16145269132,67258213717,254875322295,888804087656,2879879732515,8740934080216,25022943252635,67960447531695,175991165215918,436440672443670,1040390977215503,2391868713232527,5318727050623899,11468911283619216,24036501639313535,49061299322820339,97705292180852114,190161043757364400,362237579037441970,676265997780154479,1238865631702825963,2229446810754864681,3945285607076114361,6871847191410805439,11791109156289344343,19946418952572463931,33290545770905922213,54854900243088432804,89293506372492862746
"[14,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,18,324,3977,40960,368753,2895271,19694223,116334210,602737463,2775221278,11507611929,43497792029,151482897563,490510826953,1488406835059,4260802944297,11573238335063,29975441854939,74351698223116,177279601556433,407658107396228,906692171452537,1955522864096512,4099159242328161,8368341416818504,16668221664909809,32445749563638717,61814365382596323,115416544880303641,211458269334070822,380577642662492974,673544667617057311,1173274702278728441,2013334418092885954,3406107287762587507,5685174328521776902,9368399172993853009,15250874445439304948
"[13,8]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,1256,23442,300434,2857320,21440619,132886260,703903691,3269854414,13587280087,51295127365,178136358460,574835264084,1738044818214,4958180681367,13423821797725,34665460706173,85754412080573,203975698154304,468038243864227,1038991960931281,2237038050741743,4682141172586690,9545532630693881,18989980951919573,36925253293315210,70280490283374156,131110230104120306,240023991555159040,431686601369991250,763513902768167870,1329235755158533001,2279782982131582129,3855068491995159567,6431797447929481849,10594619416357867137,17240940682836328058
"[13,7,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,4,287,9348,179267,2307570,21905648,163907291,1013470071,5359451444,24869827981,103277575271,389772095431,1353429648241,4367481993632,13206511393053,37679868539159,102031448681454,263530229745777,652028077245883,1551182506417240,3559895572026768,7903792500983424,17020006920252304,35627829894107114,72643890498743653,144535076373612697,281072259441760778,535021586473233970,998186400658814983,1827532351788735842,3287088614537303312,5814194283429119183,10122829291109333182,17362749189619497356,29361628996747225904,48989344855047051859,80700120518365095326,131331168197361733189
"[13,6,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,6,712,26745,534615,6959220,66224211,495554786,3062962093,16192636785,75128974816,311989988380,1177578406506,4089661041140,13199905903814,39922959943111,113930506405547,308573252503321,797156679760739,1972708403555533,4693930859145399,10774125074854564,23924628116045321,51526254318688714,107872822144523477,219973656684745471,437712800479627769,851283669580571302,1620556775387864765,3023694327482699248,5536325190346019526,9958536089401553220,17615653595247593363,30671433264953436470,52610400490375213284,88971812653689859944,148453859157576118525,244557035213783735787,398005057356340154783
"[13,6,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,13,965,31489,594699,7548548,70973710,527899766,3252681069,17167281531,79582573250,330342996712,1246615320750,4329187755852,13973291725515,42264597078067,120622612582348,326727113719426,844129980936047,2089133279456710,4971363804709364,11411796995391236,25342403456720339,54583224372024443,114279465581081891,233050517582495926,463756224020912209,901973886164163665,1717122584510901707,3203986819689248526,5866630949347686687,10552994697008342946,18667701607688838253,32504012588319489956,55755072549534555582,94291866940339634058,157333621312859305864,259189716625098778593,421825792899163658636
"[13,5,3]",0,0,0,0,0,0,0,0,0,0,0,0,0,5,861,36777,761948,10025798,95735432,717236705,4435282501,23454073394,108845515779,452111898255,1706864931177,5929256319722,19141864003535,57907057950226,165286672699332,447752692792096,1156907654733752,2863427040803665,6814306306511664,15643095272303539,34740500555614035,74828086837611887,156671062848140107,319509703348805594,635822113101776416,1236660379597444013,2354329633168562369,4393040406606080021,8043978446872263860,14469873976215448441,25596825911840622023,44569513154710991270,76452277076601585546,129295954963543678994,215742890301336351256,355415694626965158254,578436269405173956796
"[13,5,2,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,23,2615,95494,1860489,23824290,224552927,1671353604,10300831646,54378725791,252151241127,1046989715813,3952337909795,13730120431444,44331163673683,134128826411136,382912585928366,1037459906468699,2681021804885849,6636697985846060,15795994494846910,36266225817783291,80549931993644061,173515607300478139,363331620763630625,741028718531164797,1474754201614211715,2868562292082857996,5461451178889493593,10191318088282022646,18661997375326565064,33571595291159124199,59389751077291598011,103414107833288296393,177397442820928449383,300023707580393930266,500633196647271506723,824766855903614705160,1342334029655822670491
"[13,5,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,40,2256,64027,1125423,13766106,126958598,934771036,5729120806,30156424854,139622326496,579305829878,2186112769413,7593579353223,24518307521074,74189473506727,211823111322016,573990435267951,1483523547810563,3672867524579082,8742913000566730,20075375316088865,44593804637733029,96070900048113069,201185454004362418,410359825850712577,816737486920344302,1588755648932261226,3025018698849064880,5645144057715524514,10337730098176613160,18597706678434754038,32901631393151023459,57293133995622809125,98284611080769082962,166229380487986864240,277386103854821656230,456991391142345212665,743786353464768748908
"[13,4,4]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,396,18161,383175,5073532,48560063,364151195,2252901401,11916960751,55316481166,229812162472,867763251980,3014887824424,9734603598374,29452562641111,84077849339320,227787056383681,588615726448621,1456992274904896,3467582202224192,7960827425058671,17680672822188688,38084801149571414,79743929018779282,162634403849789379,323654407021959869,629523714672851468,1198513951641946629,2236422246071282552,4095161611578859232,7366739892685562030,13031852686552768177,22691673410088584872,38924842772077968298,65830702785105257004,109846578509568269523,180964160457556257240,294521439485949405486
"[13,4,3,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,16,2592,102727,2050654,26474303,250289565,1865354911,11504573777,60762491090,281862172736,1170758682335,4420939234121,15362374366374,49614120016161,150148006428587,428734154114545,1161826265288084,3002913896226187,7434629378494353,17697497707603471,40636709671418322,90266585228432577,194464829687561813,407232112078407561,830627462607971095,1653179080378153831,3215811218275171828,6122906977412191603,11426177346967781656,20924141565730752318,37642511165721813160,66593764497338841164,115962041680825231086,198928098439603019080,336446420174916944993,561423408652551394250,924936009658420959584,1505392952617899986305
"[13,4,2,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,12,2207,85750,1685426,21568642,202950513,1508814225,9294018636,49058694112,227520745488,945016311783,3568765490065,12402659241131,40061174922064,121255612451739,346284037759589,938521034822196,2426049176750673,6007104216504358,14300859523675495,32840428693943444,72954690341982617,157180797075681242,329176870405275479,671458956291054852,1336461078935014788,2599847201881550521,4950324899351253813,9238339150068002206,16918265445996403732,30436909040377354431,53847803212282988613,93769495527566950444,160861502896932343092,272070365699236967660,454008887998099963396,747985698151109819102,1217414828908501772202
"[13,4,2,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,69,5285,162857,2932540,36142831,334195512,2463312343,15107251874,79562157399,368548330149,1529856520000,5775737472214,20070582545581,64828732172428,196230980610521,560443571614212,1519085952895644,3927157150459811,9724862530455629,23153581856507095,53174099580478506,118134606921708259,254538391487880977,533102097261557414,1087490219226085779,2164635297122589895,4211111021593745754,8018647486384909544,14965049449298052743,27406613749371614783,49307614111566001243,87235665361426135308,151914485329682042919,260615496888074133842,440797326575914339259,735581577505280915262,1211902892109024619568,1972515789380597203960
"[13,4,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,1,101,3840,86007,1332248,15288197,136543873,989112198,6012159078,31515502973,145631417350,603776758147,2278162536148,7914937096619,25565407312714,77392259619039,221070332304982,599321690429824,1549664798501017,3838161360704456,9139749902746455,20993632556134945,46647719940602960,100523335609576549,210561509224520264,429579904150808425,855162642236084659,1663802766970008196,3168426271697830574,5913634906844119445,10830848410703409846,19487181189722368227,34478989086659334990,60045819335996800511,103016058319967848656,174246038909253601803,290785285837223838348,479099303768254316433,779817544085724836709
"[13,3,3,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,6,1545,63464,1267604,16309395,153781666,1144369114,7053038348,37244606628,172787629912,717889326402,2711748065501,9426435924532,30454186031987,92194678728914,263334712865853,713810763907962,1845418180562027,4569934408493069,10880548764300278,24988275226662753,55515601578411868,119616695923125886,250523637402864190,511049502904347009,1017235028669626121,1978937227161073076,3768209931378848961,7032515730367339306,12879129553111660872,23170943346976208395,40994201891446404560,71388165896504187707,122468954460931047348,207139785505405266849,345664096732996508375,569495335615902485798,926919074289821007476
"[13,3,3,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,33,3096,99977,1827979,22657787,209992895,1549532252,9509240494,50103331753,232175417794,964076255404,3640744756888,12654671278131,40884073157150,123776685238243,353572011769450,958504617691156,2478267567485914,6137684287655455,14614514006929407,33566508296220718,74579312302381386,160703638111595011,336597173084451289,686673074660767361,1366882845016887703,2659272203793562247,5063895183348283811,9450992415406347807,17308870014052243590,31141533891025261134,55097453034206642635,95950439446720353026,164610441702273953581,278422669275007940790,464626751698595056317,765505347121192456194,1245969236619308206753
"[13,3,2,2,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,37,3930,128402,2334635,28772470,265700995,1956720000,11996215139,63179924908,292736375631,1215600765278,4591182893303,15960842419156,51574444017450,156168597979572,446172920213219,1209719333021420,3128224027030637,7748321714094006,18451659494053743,42383821621050743,94178251924520448,202951445429320537,425115977538410376,867309799547914271,1726553026944559153,3359179968056704498,6396976969174788273,11939471665533873409,21867154285512178263,39343940555713845325,69611709904241008050,121229815741332637125,207984258858041351199,351793101716785571683,587077872799898010975,967270025080236104283,1574396545037150496512
"[13,3,2,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,141,6552,155196,2448777,28277515,253141259,1835702797,11165739780,58563676545,270759112133,1123080686644,4239439858139,14734743510843,47610358845593,144172686996161,411942883120012,1117052057400679,2888985560852719,7156716076824383,17045037208299246,39157564545016868,87019261574134797,187543567624991129,392879020195631276,801610461112565135,1595891410059690328,3105187560230041724,5913677507656062492,11038082748399019236,20217346021068281906,36377341144948999729,64365732643255898807,112098412916823277575,192325356919233135929,325317984169288370830,542912559424703347731,894528542446258515447,1456035222096304465533
"[13,3,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,3,179,4498,76364,999900,10463682,89062673,629361336,3776989475,19670484365,90605223122,375100700403,1414626401168,4914850882873,15879457732338,48090089453034,137431243277903,372748047763611,964244093654992,2389212091650977,5691598283543165,13078007020798969,29068614753612134,62659571181304082,131284604195521465,267905614688306739,533432483017840041,1038045332065529694,1977122761619376835,3690734230549271641,6760556394193083562,12165356778148504624,21526875895712917517,37493437684479934618,64330845335572519346,108821664284564510074,181618322042810321148,299257166862647079792,487125785304382275412
"[13,2,2,2,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,6,832,27309,488662,5946153,54487608,399582354,2444625337,12863394914,59585880488,247454744814,934848376409,3250997340096,10508710395134,31831740406564,90973164302906,246732860822172,638205396589505,1581170205904775,3766201241177050,8652766417727527,19230160850034248,41447037295005296,86830114416563543,177170822593674229,352733768342878571,686348052787231738,1307149890469016113,2439895165613416119,4468998723898898701,8041268810855278744,14228365334873758454,24780248833773775537,42515569620817059173,71915783680195541113,120019062580996292535,197750828039753733778,321883991248332297510
"[13,2,2,2,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,49,2745,68297,1088525,12572607,112404383,814354389,4951319732,25968604030,120084084412,498245158821,1881434328780,6541448501346,21143514963175,64046082401645,183049386916386,496494048650455,1284350572351246,3182282335936653,7580533239252126,17417490838381854,38712005153497574,83442242292446451,174819609967887730,356727783989930167,710255379819452665,1382078209246368902,2632282241321283925,4913549941838339115,9000156030145432509,16194911942001963807,28656421729788299563,49909637973784534522,85632286052567338317,144851704167299178061,241745636727446949498,398322642945350759026,648371106642296460483
"[13,2,2,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,1,145,4099,71989,953992,10026154,85468463,604359171,3628537570,18904835788,87111646935,360767301367,1361023640333,4730048231577,15286514260220,46305508188862,132359304508765,359058458213789,928982734983289,2302170626404742,5484936080864035,12604533918786045,28018939640809342,60402082825925457,126564263304625804,258290329918979463,514317795758202627,1000901463990465188,1906466004569620005,3558987427421416462,6519472660745251947,11731932482704106210,20760552986968692712,36159721806399374959,62044007180018572521,104955618316730454790,175169637791348044635,288636849722826423682,469846138712612468702
"[13,2,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,6,192,3218,41104,443914,4129018,32894123,224323925,1321146994,6812923388,31221824128,128931070955,485696215141,1686858130755,5450398871688,16510721546677,47201822797969,128076381264299,331453970225964,821613082758731,1958000752921510,4500635445845900,10006850936536319,21576885842337999,45220097412565412,92300664181740372,183822087589426196,357783765023375909,681578322279100773,1272522046308618720,2331303114728180232,4195647198871925107,7425190450473929904,12933901761098629016,22194071724790872497,37546779153662016388,62669054307178545319,103269270415524961465,168111705182276174518
"[13,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,6,94,1054,10184,89864,729256,5343475,34741396,199307382,1013293343,4608411635,18954333684,71258858594,247262044017,798693174746,2419568831387,6918779957496,18779220153178,48616709015390,120555354727294,287398545496597,660830352011245,1469765607877807,3170029991294589,6645376372537455,13567392185448214,27026097736565973,52612839657914024,100245402635686657,187190775669374319,342990306207108085,617362456183917139,1092702056746226186,1903583440745983457,3266805695930592463,5527123299012938264,9226060956035884382,15204351780975661312,24752871516355439840
"[12,9]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1553,28417,351434,3243279,23790137,145016534,758899625,3494085250,14423473925,54182842395,187458603161,603175255879,1819659538318,5181931229285,14010234122035,36140011216110,89323177951706,212312675128997,486884861164785,1080314362821058,2325095018550483,4864860254653274,9915351447263918,19721216000747698,38339769359615145,72960952634191967,136092002447963483,249114952418953982,447991908488711927,792284494373992156,1379221433239218281,2365362076712538300,3999558541835230068,6672541765258834600,10990715557569167348,17884859368973123903
"[12,8,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,7,497,15213,273025,3337867,30537970,222632911,1351484506,7053429597,32419110833,133683844303,501886228478,1735842359748,5584602771211,16847499467066,47980673675364,129738575818280,334712536910351,827395250055725,1966941431589351,4511360768412265,10011402099382249,21549925533481780,45095391410958386,91922719708040294,182851127364350130,355515869954243784,676615667931331921,1262184775932541380,2310605752912471137,4155555761902969342,7349712991681904192,12795318531288197591,21945244113845380564,37108937072914509999,61912677836826781107,101984555143232908122,165963498561652862659
"[12,7,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,22,1794,56999,1028521,12548151,114449934,832308542,5043953956,26297266888,120799820698,498007969864,1869574521276,6466689614941,20807976101863,62784973214127,178844985109775,483694607332992,1248141203807940,3085959528912290,7337511994363473,16832142321376111,37359008117251068,80428340081400923,168326688507046618,343159570284273304,682682318931140654,1327466257990481079,2526656124727435662,4713712387145878830,8629762531307706938,15521442065451194595,27453687128982932751,47797632867128560305,81982009937330494397,138636503201607742579,231311842304268873635,381039775371729213543,620104230036362467539
"[12,7,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,36,2219,64181,1114616,13360615,120813356,874777360,5289609757,27547300373,126474556093,521288282940,1956875434143,6768939544178,21782455416398,65732522443338,187263000198410,506520083114819,1307185129344552,3232275624627683,7686138933910237,17633416147516015,39140519825971426,84269670376573305,176377470564660866,359593189304696556,715412860007762888,1391176092048698492,2648032384894662136,4940341749305862790,9044986565411429804,16268776621017771740,28776368363516216502,50101765870825765280,85936077795115636583,145326218576759815444,242478277511585249270,399441461138933902118,650061911813722969521
"[12,6,3]",0,0,0,0,0,0,0,0,0,0,0,0,0,32,3202,106667,1946236,23791458,216957945,1577011741,9553871536,49804228246,228791242513,943350597777,3542176497080,12254995357275,39442895988558,119042204678140,339174734153063,917514378678572,2368061166490176,5855978524578798,13926142034960457,31951204665934909,70925537269783543,152710891589350036,319640792909476040,651701731099459911,1296613892608952868,2521453296960755942,4799605825091192015,8954708387972091194,16395075257317854887,29489702972421317773,52162763210019313750,90820926050935869567,155781534873952777978,263445828499006753941,439568441833521662556,724123419194123194118,1178472574679125575998
"[12,6,2,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,114,8488,255843,4478996,53728115,485532985,3513570169,21240082312,110615094478,507954159176,2094277602432,7864635473815,27214678502846,87610192635940,264475630467662,753709926378048,2039312983721518,5264378545225268,13020552889731870,30969147335815278,71063613133028138,157767661633273806,339730818373974596,711166940970156067,1450100360775275309,2885330611394252749,5611357343459345260,10681971690083511061,19930733557674477901,36492926277804433466,65642762874480989374,116117108165017610294,202180342268359882197,346804532329974209726,586508719462650598910,978639498354974907012,1612206902366039722417,2623847490323771756389
"[12,6,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,1,124,6084,156942,2569064,29878913,266017046,1910836747,11508332576,59822598804,274470921863,1131238511404,4247838642941,14700288250548,47330637883310,142906670936007,407337421011154,1102340788886322,2846144002241434,7040628924123890,16748563643103469,38437569137606783,85345614549564737,183800815661697417,384794131872834272,784684209406602355,1561451253127312764,3036918967081685782,5781572088802008197,10788081236480153831,19753928695853842066,35534748877232607572,62861132323040905141,109456789261065216263,187760711066404425106,317547844525777115117,529871895727693940648,872933604788208106397,1420725827582044805638
"[12,5,4]",0,0,0,0,0,0,0,0,0,0,0,0,0,24,2785,95566,1757653,21534002,196500403,1428668089,8656696204,45135718694,207388501891,855293849356,3212256797436,11115990755656,35784381613998,108021154661099,307827482793876,832847936899504,2149848565563439,5317043121393684,12645949646335232,29016999777021143,64418084466755145,138710986154466702,290358778498666186,592038863148651485,1177979242512325905,2290872429254571937,4360901148643510373,8136558652357064941,14897711090946959812,26797343137821184095,47401894361156960324,82534120221900871456,141571205672265357904,239420102506526416660,399489358626240864296,658112154168208866221,1071062155439159645657
"[12,5,3,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,152,12904,403561,7148035,86088518,779193360,5643244447,34134274090,177857450046,817130710727,3370534611998,12662730107237,43835034749358,141164896016283,426281382127706,1215175453964580,3288737156472911,8491621069238803,21006808104742163,49973201921232745,114689528717934538,254656828164565263,548436511778258771,1148182964149862068,2341426314684144729,4659253287537172883,9061976444135708944,17251908203863617809,32191156790975462281,58944978359066398552,106034540171376128043,187575856762249566874,326616379638805568964,560273911785064522923,947556677045804041167,1581128613547690045819,2604820256344561041682,4239425589266124830752
"[12,5,2,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,116,10078,309216,5410962,64759280,584318882,4225670606,25544059770,133074763367,611416353265,2522395109486,9478297307684,32818478821722,105709964156774,319280246990364,910319692660022,2464085379348553,6363285215517499,15743746691447807,37457268305792953,85974151364627661,190914798542447291,411193543530686276,860919881823699164,1755740687870328922,3493987834553274145,6795955174748757158,12938527892777665488,24143619999276405587,44210849835290871223,79532391222600061123,140697644297105870033,244996447841344380911,420274504798527997754,710800393930393119671,1186092587246117716760,1954057280586918710872,3180343087468851844869
"[12,5,2,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,1,365,20389,543965,9003009,105123478,937551043,6741623178,40637138885,211405617848,970663203186,4003373313413,15042342837014,52086274333177,167789281096630,506844039989672,1445285004591624,3912657722114276,10105347364106185,25005061217595953,59497917129857708,136576268040500590,303308548751568199,653319111310152883,1367957007056838848,2789957938225212051,5552435038980583534,10800278418685130044,20563141127426908818,38372947168406109226,70269693509246562897,126414852675758151407,223642512932837229308,389439104330529981963,668073027785427515565,1129922570006733876139,1885510075372795842174,3106390152165002717581,5055922545008236203632
"[12,5,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,4,332,11589,248838,3719883,41390435,360614574,2563175559,15360749232,79680719186,365354361594,1506018875582,5658010233597,19593508483895,63130895563436,190748950317293,544073767206924,1473299266053126,3806092668337320,9420137535942983,22419391033740453,51473244669300776,114331821414979339,246306847656406496,515804770723917135,1052122073479806736,2094121863012732576,4073787874756062507,7756994008883074750,14476571694579511238,26511949469551721492,47698156258225818097,84388823324715511955,146958496854422664444,252116588816965862688,426428782426024018365,711615235599256242494,1172436501022872850092,1908311429469797097560
"[12,4,4,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,73,6592,210515,3756051,45370604,411228716,2980652584,18038748684,94030599629,432156519377,1783120555519,6700784299641,23201830470815,74733968845858,225718584590382,643546537940176,1741933909261150,4498287431636736,11129207281010731,26477880175090508,60772445717841415,134949370044083857,290650265537838891,608528628270047578,1241003783458427136,2469614307130170612,4803455403295252557,9145007915593160338,17064672934598941117,31247923626921600189,56212561911158268357,99442832324724021194,173158581606078414234,297040094888415687850,502374617219614640147,838294850387479940739,1381064098803141269260,2247755150357197197165
"[12,4,3,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,142,13653,434034,7691915,92520725,836762596,6059410853,36663069646,191140495747,878741638407,3627170654689,13635984243579,47233561805258,152195642243090,459825479062772,1311392364960264,3550564373303415,9170923488762609,22694396107385522,54002740790356663,123967649298665609,275317337140583262,593044733092633126,1241782799675409617,2532679688794321369,5040506110617742315,9804659775203946187,18667794530496672843,34836451134556508262,63794221715294930793,114766559230985350283,203036968394423655693,353560227750163344662,606527540588092132220,1025835463176458440115,1711827730622016220182,2820259997586061910692,4590239078546521235181
"[12,4,3,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,1,373,22597,622433,10432228,122471895,1095190575,7887476310,47595309001,247809611637,1138588493878,4698681495856,17663711146911,61189537516410,197188085220838,595843247621983,1699550084561995,4602133562241952,11888629292868956,29423194425377411,70022053237271192,160757307885702073,357054877542739898,769172912686769091,1610696499728062146,3285312399653720601,6538769113070541295,12719711723380923536,24219119516453117031,45197853382390964419,82771724489649675956,148912505526081087381,263453909808597935327,458780950046977858644,787052682125346985206,1331193769825558269781,2221431912832318377386,3659912172104371810897,5956959650051860421655
"[12,4,2,2,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,357,23123,636627,10609396,124060968,1107043408,7965098799,48048127707,250170970901,1149645413688,4745505135778,17844606486194,61832795404805,199311240659018,602397317379650,1718599793742356,4654574332378835,12026060461783377,29767613096626526,70850720417230667,162678028497577465,361356769520019032,778508344065808244,1630372035180373541,3325673338214772509,6619504995198244224,12877467929219852482,24520691763428573295,45762644414921958511,83809314803397643036,150784507822431151147,266774276644322768216,464576344639127447133,797015465244887016555,1348076072126193443903,2249652170700632878232,3706478152708628367667,6032858083024024020184
"[12,4,2,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,6,795,30339,673194,10203163,114229800,998396939,7110594659,42675687670,221635711644,1017274991935,4196915468883,15779312492604,54678591970076,176274721462323,532869151137809,1520541978655385,4118979373044148,10644254588682490,26351939142410998,62731159183038710,144056250351474530,320035007399251905,689567795644712989,1444267422297643703,2946340682017096119,5864987813178872661,11410547848403720805,21729000893397920366,40555162047918121232,74276701053850881738,133641062731926773585,236454663868376849431,411793841876138630808,706490970836106307531,1195005353847017538319,1994274979456040735980,3285822487061246204140,5348323237648014749449
"[12,4,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,13,636,15494,266621,3528606,36880082,311446722,2180149445,12971124313,67072843224,307212361789,1266316673016,4759776202865,16494754471421,53188892285339,160837311993632,459104164205635,1244080653320584,3215982270589887,7964176481574177,18964038097349688,43560014651637761,96794666851850399,208602388533877834,436987921829021718,891612772436609250,1775107806961771526,3453997172324590881,6578204267931541594,12278936036992552504,22491045554793114354,40470199515271185995,71610726937249821076,124721578001889179171,213991755289260648052,361981505992052275691,604123011231859076606,995419582744917989498,1620315640469269322945
"[12,3,3,3]",0,0,0,0,0,0,0,0,0,0,0,0,0,29,3314,108734,1945887,23488654,212775010,1542383914,9340024761,48728917957,224170519342,925847480833,3482445106681,12068367432949,38902352038765,117576528623619,335424516077483,908399812976529,2346904040884315,5808855801037863,13825036585721652,31741519334630037,70503943743282170,151886994440040435,318072272257078428,648786881855822221,1291316969587866735,2512025662277980783,4783148035948607197,8926492999964766253,16347514527559436081,29410796260300491098,52033791058856805895,90613065726551453987,155450947915096063775,262926604932755660145,438762565949399469031,722886632916117530260,1176594637671728455273
"[12,3,3,2,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,246,17323,491440,8283923,97336699,870634176,6272826646,37875414439,197345466948,907409207025,3747389333028,14097054906238,48864054350556,157554274819460,476311664435950,1359181707440732,3681835742372744,9514336936912373,23553775092264938,56067886593953034,128749460563463229,286018083488615924,616249180139443499,1290658340447388927,2632885391263272297,5240858983289916501,10195986714050830171,19415604642378660968,36236532809391543159,66365643082648311824,119404757363356809809,211261978665357387134,367913506323355621029,631197895255264906807,1067633967462317898984,1781688144572412786983,2935521946088490469063,4778085204712638324760
"[12,3,3,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,4,461,18619,423996,6496573,73096951,640553485,4569164682,27451999531,142685590939,655321936286,2705037440934,10174678662347,35270373322044,113741476369031,343926465762321,981619097844308,2659621283067720,6874153981751110,17020818555688282,40523466727870506,93068694393386353,206781232203490215,445581847671448686,933319928449295817,1904120542553002962,3790563894580659732,7375060123436878740,14044901547722418440,26214573235516443211,48013689637370012433,86390615698072304067,152857679389841592377,266213872821903234384,456738677454037576558,772574508381842126172,1289329846978898784804,2124373071765384050923,3457891317295755946118
"[12,3,2,2,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,125,9277,258166,4277378,49753158,442687963,3181597495,19191174513,99968973785,459726961222,1899155282620,7147010716975,24783082459421,79939086935667,241752662491084,690072140891928,1869838002353808,4833114558041484,11967559440794412,28493417956335936,65441180037246612,145400457653597159,313319575098805562,656288264751253987,1338941492281593880,2665466855790800665,5186050642206812122,9876229308021647416,18433856022669408127,33762853733859536095,60749274619772008965,107488521731601944096,187199932606595530627,321175844540655683385,543269676630817112270,906648768657472973424,1493845671368735399902,2431566532926192192920
